,HiddenNodes,lit_HamminLosss,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,sklearn_macro_precision,sklearn_micro_precision-,sklearn_macro_recall,sklearn_micro_precision,sklearn_macro_f1,sklearn_micro_f1,term_wise_accuracy,activation,type,start,phase,end
25,400,0.03935023355434536,0.1316870708328296,0.26593950890504797,0.14129106833434613,0.1845385853892639,0.1316870708328296,0.05943724312361682,0.29857843107311083,0.1316870708328296,0.015739549914921852,0.6587518386215592,0.02152591307218399,0.19126933284524572,0.9606497664456547,_biploar_step,type2_BERT_Embeddings_Train,1603016655.3508954,train,1603016665.8937042
26,500,0.039215162404503956,0.13573977219895256,0.270997997681526,0.14638975246684957,0.19009340731973018,0.13573977219895256,0.0596480134893034,0.21936474320151644,0.13573977219895256,0.016669631797560765,0.659944089456869,0.022773203446549966,0.20012110202845895,0.960784837595496,_bipolar_sigmoid,type1_BERT_Embeddings_Train,1603016665.8947022,train,1603016693.760192
27,500,0.03887080518732587,0.1487392951657948,0.2939807496399339,0.16013608036909266,0.20733398033440342,0.1487392951657948,0.06734113183686374,0.29103502714960416,0.1487392951657948,0.01999276592721357,0.6714018691588785,0.02814437491284853,0.21527028646769747,0.9611291948126741,_relu_leaky,type1_BERT_Embeddings_Train,1603016693.760192,train,1603016762.461496
28,500,0.03926859714510055,0.13107008774207274,0.2638142410510415,0.14203961317571442,0.18465796177063518,0.13107008774207274,0.057751080198124145,0.17814267405842393,0.13107008774207274,0.015843530950400423,0.6606483381206402,0.021471513040527693,0.1957684824902724,0.9607314028548994,_biploar_step,type1_BERT_Embeddings_Train,1603016762.4624946,train,1603016772.7420065
29,500,0.0389850961602686,0.1462025187282842,0.28885727333403594,0.15758371861815976,0.20392035723616403,0.1462025187282842,0.06734113183686374,0.2751382601943,0.1462025187282842,0.018665808939831052,0.6655984919886899,0.025817631776397423,0.21190026104959941,0.9610149038397314,_bipolar_sigmoid,type2_BERT_Embeddings_Train,1603016772.7420065,train,1603016800.6982565
30,500,0.038766904302832486,0.15604218301588102,0.3037552253486493,0.16789219176756548,0.21625531570363488,0.15604218301588102,0.07218885024765517,0.29040624064636783,0.15604218301588102,0.020235339987041363,0.6707929673484033,0.0280251058926645,0.22258602214549353,0.9612330956971675,_relu_leaky,type2_BERT_Embeddings_Train,1603016800.6982565,train,1603016869.8014853
31,500,0.039145400382058396,0.13981265474321244,0.27747918642638847,0.1506488937726226,0.19527769568691467,0.13981265474321244,0.062388028243229005,0.2131367558187687,0.13981265474321244,0.01734722757798397,0.6604397742751508,0.023744200598830808,0.20469829016012786,0.9608545996179416,_biploar_step,type2_BERT_Embeddings_Train,1603016869.8014853,train,1603016879.860586
32,1000,0.03762547887175514,0.18153502575438488,0.35059981733234974,0.19683069918716084,0.2521189634044005,0.18153502575438488,0.07946042786384235,0.46102299109628236,0.18153502575438488,0.02861365653672815,0.7098445595854922,0.042032085754500355,0.26291762379692357,0.9623745211282448,_bipolar_sigmoid,type1_BERT_Embeddings_Train,1603016879.860586,train,1603016928.7530541
33,1000,0.03730338612982564,0.19400256833704518,0.36656830716267963,0.20883623457463055,0.26608321425867115,0.19400256833704518,0.08978817578248498,0.543066042827532,0.19400256833704518,0.033698328414532346,0.7174240144447788,0.05072142584514663,0.27506634360216914,0.9626966138701744,_relu_leaky,type1_BERT_Embeddings_Train,1603016928.754051,train,1603017058.2877278
34,1000,0.037818437657242854,0.18005213979128346,0.34914286717954124,0.19381772193340696,0.24926330383054687,0.18005213979128346,0.08135736115502161,0.4140332527128712,0.18005213979128346,0.027362146246424714,0.7026294820717132,0.03976909796273057,0.2571070356007814,0.9621815623427571,_biploar_step,type1_BERT_Embeddings_Train,1603017058.2886927,train,1603017071.2111406
